ETF_Id,Ticker_Symbol,Weight
0050,2330,55.5
0050,2454,5.24
0050,2317,4.4
0050,2308,1.97
0050,2881,1.75
0050,2891,1.63
0050,2382,1.52
0050,2882,1.42
0050,2303,1.33
0050,2412,1.24
0050,2886,1.19
0050,3711,1.17
0050,2884,1.1
0050,2357,1.1
0050,1216,0.98
0050,2885,0.96
0050,3034,0.79
0050,2345,0.73
0050,2892,0.72
0050,2883,0.68
0050,2890,0.67
0050,3231,0.66
0050,2002,0.64
0050,2880,0.64
0050,2379,0.63
0050,5880,0.62
0050,2603,0.6
0050,2327,0.58
0050,3008,0.56
0050,1101,0.54
0050,3661,0.53
0050,2887,0.51
0050,2207,0.5
0050,2301,0.49
0050,4938,0.45
0050,5871,0.44
0050,3045,0.44
0050,2395,0.43
0050,6669,0.43
0050,5876,0.42
0050,4904,0.41
0050,1303,0.39
0050,3017,0.37
0050,1301,0.35
0050,2609,0.33
0050,2912,0.33
0050,6446,0.33
0050,3037,0.3
0050,2615,0.28
0050,6505,0.13
0051,2888,2.98
0051,2383,2.4
0051,2324,1.88
0051,2474,1.84
0051,2801,1.81
0051,2376,1.81
0051,6415,1.8
0051,1102,1.66
0051,1590,1.66
0051,2360,1.64
0051,3481,1.63
0051,2377,1.61
0051,2618,1.59
0051,2356,1.58
0051,2059,1.49
0051,6409,1.49
0051,2353,1.48
0051,3533,1.46
0051,3653,1.46
0051,2449,1.42
0051,2385,1.41
0051,1402,1.4
0051,2347,1.38
0051,2409,1.37
0051,3044,1.37
0051,3443,1.35
0051,2105,1.34
0051,3702,1.33
0051,2834,1.28
0051,3665,1.28
0051,1326,1.27
0051,1476,1.27
0051,2027,1.27
0051,6919,1.25
0051,6239,1.17
0051,9904,1.14
0051,2542,1.13
0051,2812,1.13
0051,6176,1.13
0051,2371,1.11
0051,5269,1.1
0051,2404,1.07
0051,2049,1.01
0051,2354,0.99
0051,4958,0.96
0051,2610,0.94
0051,1477,0.93
0051,1605,0.9
0051,2313,0.9
0051,2368,0.9
0051,1229,0.87
0051,1319,0.87
0051,9910,0.85
0051,1513,0.84
0051,1504,0.83
0051,1519,0.83
0051,3036,0.82
0051,2633,0.81
0051,9945,0.79
0051,2344,0.79
0051,3023,0.79
0051,8464,0.79
0051,6285,0.74
0051,3706,0.73
0051,3035,0.7
0051,6770,0.7
0051,2809,0.67
0051,3005,0.64
0051,9921,0.64
0051,2408,0.63
0051,2006,0.61
0051,2206,0.61
0051,1503,0.6
0051,4763,0.6
0051,6472,0.6
0051,2352,0.59
0051,1907,0.54
0051,2915,0.54
0051,1722,0.54
0051,6890,0.52
0051,6531,0.48
0051,3406,0.48
0051,2845,0.46
0051,1795,0.42
0051,9917,0.41
0051,9941,0.39
0051,8454,0.39
0051,2201,0.35
0051,2539,0.33
0051,6526,0.32
0051,6789,0.32
0051,1802,0.31
0051,8046,0.31
0051,5522,0.29
0051,6781,0.29
0051,2540,0.21
0051,6592,0.21
0051,2646,0.19
0051,4583,0.12
0052,2330,65.39
0052,2454,6.15
0052,2317,5.21
0052,2382,1.78
0052,2303,1.57
0052,3711,1.38
0052,2357,1.28
0052,3034,0.93
0052,3231,0.77
0052,2379,0.74
0052,2327,0.69
0052,3008,0.66
0052,3661,0.63
0052,2301,0.58
0052,2395,0.51
0052,4938,0.51
0052,6669,0.5
0052,2383,0.49
0052,3017,0.44
0052,2324,0.39
0052,2474,0.38
0052,6415,0.37
0052,2376,0.37
0052,3037,0.36
0052,3481,0.34
0052,2377,0.33
0052,2356,0.32
0052,2353,0.3
0052,2385,0.3
0052,3533,0.3
0052,3653,0.3
0052,2449,0.29
0052,3044,0.29
0052,2347,0.29
0052,3443,0.28
0052,2409,0.28
0052,3702,0.27
0052,3665,0.26
0052,6239,0.25
0052,6176,0.24
0052,5269,0.22
0052,4958,0.2
0052,2354,0.2
0052,2313,0.19
0052,2368,0.18
0052,3036,0.17
0052,2344,0.16
0052,3706,0.15
0052,3035,0.14
0052,6770,0.14
0052,2408,0.13
0052,3005,0.13
0052,2352,0.12
0052,6531,0.1
0052,3406,0.1
