date,Open,High,Low,Close,Volume,Dividends
2025-02-12,9.98,10.0,9.97,9.97,12573810,0.0
2025-02-13,10.0,10.03,9.99,10.02,16192400,0.0
2025-02-14,10.03,10.11,10.03,10.11,22257180,0.0
2025-02-17,10.15,10.2,10.13,10.2,18516200,0.0
2025-02-18,10.22,10.22,10.18,10.22,12404020,0.0
2025-02-19,10.21,10.22,10.19,10.19,13382310,0.0
2025-02-20,10.18,10.18,10.14,10.14,12786890,0.0
2025-02-21,10.14,10.14,10.12,10.13,8571558,0.0
2025-02-24,10.0,10.05,9.92,9.98,22261960,0.0
2025-02-25,9.85,9.85,9.81,9.81,23386950,0.0
2025-02-26,9.73,9.75,9.71,9.75,15990770,0.0
2025-02-27,9.69,9.74,9.68,9.74,14894210,0.0
2025-03-03,9.62,9.65,9.6,9.65,15382150,0.0
2025-03-04,9.47,9.48,9.43,9.48,20892270,0.0
2025-03-05,9.42,9.43,9.4,9.41,20613800,0.0
2025-03-06,9.44,9.46,9.43,9.46,8502015,0.0
2025-03-07,9.28,9.29,9.26,9.27,13481770,0.0
2025-03-10,9.23,9.26,9.21,9.23,12334580,0.0
2025-03-11,8.85,8.99,8.83,8.99,18103880,0.0
2025-03-12,8.97,8.97,8.95,8.96,8781339,0.0
2025-03-13,9.04,9.06,8.96,8.97,8902871,0.0
2025-03-14,8.91,8.97,8.91,8.96,6528863,0.0
2025-03-17,9.04,9.04,9.02,9.03,5193364,0.0
2025-03-18,9.1,9.12,9.09,9.11,9262210,0.0
2025-03-19,9.03,9.03,9.0,9.0,6749626,0.0
2025-03-20,9.15,9.17,9.13,9.16,8142970,0.0
2025-03-21,9.1,9.11,9.07,9.08,9042793,0.0
2025-03-24,9.18,9.19,9.17,9.19,4854942,0.0
2025-03-25,9.3,9.32,9.29,9.29,7332051,0.0
2025-03-26,9.38,9.39,9.36,9.37,15169790,0.0
2025-03-27,9.2,9.22,9.18,9.22,5192542,0.0
2025-03-28,9.17,9.17,9.15,9.17,3770596,0.0
2025-03-31,8.83,8.88,8.82,8.87,15959910,0.0
2025-04-01,8.9,8.95,8.89,8.94,6257168,0.0
2025-04-02,9.01,9.03,9.0,9.02,4613922,0.0
2025-04-07,7.82,7.85,7.69,7.75,29793560,0.0
2025-04-08,8.05,8.21,8.05,8.12,14724240,0.0
2025-04-09,7.81,7.89,7.7,7.74,23049050,0.0
2025-04-10,8.87,8.87,8.66,8.76,30436340,0.0
2025-04-11,8.31,8.48,8.26,8.48,12147240,0.0
2025-04-14,8.6,8.63,8.53,8.61,13457980,0.0
2025-04-15,8.54,8.55,8.51,8.53,6394425,0.0
2025-04-16,8.44,8.46,8.37,8.37,5820948,0.0
2025-04-17,8.34,8.39,8.33,8.39,5168971,0.0
2025-04-18,8.39,8.4,8.34,8.4,1652973,0.0
2025-04-21,8.3,8.31,8.23,8.23,8718297,0.0
2025-04-22,8.12,8.17,8.11,8.13,5418209,0.0
2025-04-23,8.44,8.47,8.41,8.46,4807078,0.0
2025-04-24,8.51,8.52,8.46,8.47,3564406,0.0
2025-04-25,8.78,8.8,8.75,8.75,6544731,0.0
2025-04-28,8.79,8.8,8.76,8.77,3680983,0.0
2025-04-29,8.81,8.82,8.76,8.76,4203893,0.0
2025-04-30,8.77,8.77,8.68,8.68,4776233,0.0
2025-05-02,8.86,8.88,8.65,8.7,13175310,0.0
2025-05-05,8.61,8.61,8.2,8.24,14597290,0.0
2025-05-06,8.12,8.37,8.12,8.35,6539029,0.0
2025-05-07,8.35,8.44,8.35,8.4,3441543,0.0
2025-05-08,8.45,8.52,8.45,8.51,3545007,0.0
2025-05-09,8.5,8.52,8.46,8.49,6775642,0.0
2025-05-12,8.62,8.67,8.61,8.66,5024969,0.0
2025-05-13,8.84,8.85,8.79,8.81,5851247,0.0
2025-05-14,8.97,9.01,8.95,8.97,5161620,0.0
2025-05-15,9.0,9.01,8.95,8.95,4449761,0.0
2025-05-16,8.97,8.97,8.93,8.96,3003876,0.0
2025-05-19,8.95,8.95,8.89,8.9,6340060,0.0
2025-05-20,9.02,9.02,8.98,9.0,3999029,0.0
2025-05-21,8.98,8.98,8.95,8.96,4714317,0.0
2025-05-22,8.84,8.86,8.82,8.84,3647304,0.0
2025-05-23,8.86,8.86,8.83,8.84,3407119,0.0
2025-05-26,8.83,8.84,8.8,8.8,4301709,0.0
2025-05-27,8.84,8.84,8.78,8.81,4188350,0.0
2025-05-28,8.94,8.96,8.92,8.92,3607812,0.0
2025-05-29,9.07,9.11,9.07,9.09,4497654,0.0
