date,Open,High,Low,Close,Volume,Dividends
2011-04-21,30.0,30.0,30.0,30.0,0,0.0
2011-04-22,30.0,30.0,30.0,30.0,0,0.0
2011-04-25,30.0,30.0,30.0,30.0,0,0.0
2011-04-26,30.0,30.0,30.0,30.0,0,0.0
2011-04-27,30.0,30.0,30.0,30.0,0,0.0
2011-04-28,30.0,30.0,30.0,30.0,0,0.0
2011-04-29,30.0,30.0,30.0,30.0,0,0.0
2011-05-03,30.01,30.01,30.01,30.01,0,0.0
2011-05-04,30.03,30.03,30.03,30.03,0,0.0
2011-05-05,30.15,30.15,30.15,30.15,0,0.0
2011-05-06,30.03,30.03,30.03,30.03,0,0.0
2011-05-09,30.24,30.24,30.24,30.24,0,0.0
2011-05-10,30.12,30.12,30.12,30.12,0,0.0
2011-05-11,30.14,30.14,30.14,30.14,0,0.0
2011-05-12,29.75,30.1,29.75,30.03,710000,0.0
2011-05-13,30.09,30.1,29.97,30.04,1124000,0.0
2011-05-16,30.12,30.12,29.68,29.69,1754000,0.0
2011-05-17,29.69,29.69,29.46,29.61,81000,0.0
2011-05-18,29.58,29.79,29.58,29.79,192000,0.0
2011-05-19,29.76,30.08,29.53,29.58,331000,0.0
2011-05-20,29.59,29.69,29.43,29.55,545000,0.0
2011-05-23,29.35,29.35,28.95,29.14,197000,0.0
2011-05-24,29.06,29.3,28.94,29.3,31000,0.0
2011-05-25,29.3,29.3,28.95,29.07,27000,0.0
2011-05-26,29.19,29.3,29.07,29.3,20000,0.0
2011-05-27,29.23,29.47,29.23,29.36,112000,0.0
2011-05-30,29.36,29.38,29.26,29.29,13000,0.0
2011-05-31,29.42,30.08,29.42,30.08,290000,0.0
2011-06-01,30.0,30.35,30.0,30.35,122000,0.0
2011-06-02,30.0,30.1,29.97,30.1,670000,0.0
2011-06-03,30.0,30.19,29.91,30.19,331000,0.0
2011-06-07,29.9,30.24,29.88,30.24,86000,0.0
2011-06-08,30.08,30.1,29.95,30.1,13000,0.0
2011-06-09,30.08,30.14,30.0,30.14,34000,0.0
2011-06-10,30.06,30.06,29.4,29.4,953000,0.0
2011-06-13,29.36,29.36,28.98,29.08,131000,0.0
2011-06-14,29.04,29.4,29.04,29.4,29000,0.0
2011-06-15,29.4,29.56,29.08,29.56,38000,0.0
2011-06-16,29.3,29.3,28.7,28.98,80000,0.0
2011-06-17,29.09,29.09,28.6,28.66,32000,0.0
